,,Acetaminophen,Albumin Human,Amiodarone Hydrochloride,cefTRIAXone sodium,fentaNYL citrate,Micafungin Sodium,Norepinephrine Bitartrate,Propofol,Vancomycin Hydrochloride,Vasopressin
Acetaminophen,1,,0:0:0,0:0:0,1:0:0,3:1:0,0:0:0,0:0:0,0:1:0,1:0:0,0:0:0
Albumin Human,1,0:0:0,,0:0:0,0:0:0,0:0:0,0:1:0,0:0:0,0:0:0,0:2:0,0:0:0
Amiodarone Hydrochloride,1,0:0:0,0:0:0,,1:1:0,3:1:0,0:1:0,8:1:0,0:0:0,6:0:0,5:0:0
cefTRIAXone sodium,1,1:0:0,0:0:0,1:1:0,,4:0:0,0:0:0,4:0:0,2:0:1,8:5:1,4:0:0
fentaNYL citrate,1,3:1:0,0:0:0,3:1:0,4:0:0,,0:0:0,5:0:0,8:0:0,5:0:0,4:0:0
Micafungin Sodium,1,0:0:0,0:1:0,0:1:0,0:0:0,0:0:0,,1:0:0,0:0:0,0:0:0,1:0:0
Norepinephrine Bitartrate,1,0:0:0,0:0:0,8:1:0,4:0:0,5:0:0,1:0:0,,3:0:0,4:0:0,8:0:0
Propofol,1,0:1:0,0:0:0,0:0:0,2:0:1,8:0:0,0:0:0,3:0:0,,2:4:0,0:0:0
Vancomycin Hydrochloride,1,1:0:0,0:2:0,6:0:0,8:5:1,5:0:0,0:0:0,4:0:0,2:4:0,,4:0:0
Vasopressin,1,0:0:0,0:0:0,5:0:0,4:0:0,4:0:0,1:0:0,8:0:0,0:0:0,4:0:0,
D5LR,2,2:0:0,1:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:0:0,1:0:0,0:0:0
1/2 NS,2,0:0:0,1:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0
D10W,2,2:0:0,1:0:0,0:0:0,2:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:0:0,0:0:0
D5NS,2,2:0:0,1:0:0,0:0:0,1:0:0,0:0:0,0:0:0,1:0:0,0:0:0,2:0:0,0:0:0
D5W,2,3:0:0,1:0:0,12:1:0,20:0:0,5:0:0,6:0:0,12:0:0,1:0:1,26:0:0,1:0:0
D5W - 1/2 NS,2,0:0:0,1:0:0,0:0:0,2:0:0,0:0:0,0:0:0,0:0:0,1:0:0,0:0:0,0:0:0
Lactated Ringer's Injection,2,2:0:0,2:0:0,0:1:0,1:10:0,5:0:0,1:0:0,6:0:0,1:1:0,8:0:0,4:0:0
NS,2,3:0:0,1:0:0,4:1:1,23:0:0,10:0:0,7:0:0,7:0:0,0:0:5,27:0:0,1:0:0
Ringer's Injection,2,0:0:0,1:0:0,0:0:0,0:4:0,4:0:0,0:0:0,4:0:0,0:0:0,4:0:0,4:0:0
